pair_id,query_path,reference_path,control_points_path,query_width,query_height,reference_width,reference_height,reference_scale_x,reference_scale_y,control_point_count,query_sha256,reference_sha256,control_points_sha256
11,data/FIMD/11_r_t/11_t.jpg,data/FIMD/11_r_t/11_r.jpg,data/FIMD/11_r_t/control_points_11_r_t.txt,2544,1696,3888,2592,0.654320987654,0.654320987654,12,4f5b04402a51caec426ba2b2863e0ecb04ae9bb4b544794edabc13d90deffd57,524810523a84c6fb8a1ee54044ca719381a7a54cb8b8aecdb6f93d1a70ff35b0,730f8130503a558a1a6162fe71f6493494773ca9e4aa682568fe011ba8483a14
12,data/FIMD/12_r_t/12_t.jpg,data/FIMD/12_r_t/12_r.jpg,data/FIMD/12_r_t/control_points_12_r_t.txt,2544,1696,3888,2592,0.654320987654,0.654320987654,12,5f33e1d8c33fdb8a3340fde07a76c0e9ce40bd9b7daf8cf63cd0e1fec1330b36,b06bdece1e08332c4fd4d8f04e8b80c923990f1c6f8a5bae4ab04f7ab7f37537,2e9fd688137932dc21dc27eb62b75ee08e0dee2d0567a955836d1db78d42d260
13,data/FIMD/13_r_t/13_t.jpg,data/FIMD/13_r_t/13_r.jpg,data/FIMD/13_r_t/control_points_13_r_t.txt,2592,1728,3888,2592,0.666666666667,0.666666666667,12,1b752f67fd090c47485af0ccc0cdbaec394951ffc0fb83a4a01e0b2a63618560,b06bdece1e08332c4fd4d8f04e8b80c923990f1c6f8a5bae4ab04f7ab7f37537,40e6ecfd749646ec05ec348ee2e2ee00d6a7303a736902152bf12d2f75702be9
14,data/FIMD/14_r_t/14_t.jpg,data/FIMD/14_r_t/14_r.jpg,data/FIMD/14_r_t/control_points_14_r_t.txt,1924,1556,3888,2592,0.494855967078,0.600308641975,12,4b0220d5607d2748586429b39872f8f472bac5101a6391f6c10196f4da1ff214,524810523a84c6fb8a1ee54044ca719381a7a54cb8b8aecdb6f93d1a70ff35b0,caa8fc526057a00d6e57d5273c32c7207a533849fafdedd8e6432d28adbe6b3c
15,data/FIMD/15_r_t/15_t.jpg,data/FIMD/15_r_t/15_r.jpg,data/FIMD/15_r_t/control_points_15_r_t.txt,1924,1556,3888,2592,0.494855967078,0.600308641975,12,20e3b859e4a9cfd4b15f5cf030bed19b7b57a9cd6b6d1182219e7a9908e735f8,b06bdece1e08332c4fd4d8f04e8b80c923990f1c6f8a5bae4ab04f7ab7f37537,d22bd9a977642cf60aa4ba3798b3240327efdc68f1a7f738f2556c69a70f9077
16,data/FIMD/16_r_t/16_t.jpg,data/FIMD/16_r_t/16_r.jpg,data/FIMD/16_r_t/control_points_16_r_t.txt,2592,1728,3888,2592,0.666666666667,0.666666666667,12,4a0d40c1c78d8a2baea79af0bf7919a1499c70ab853b6fd644c8be0db4286265,524810523a84c6fb8a1ee54044ca719381a7a54cb8b8aecdb6f93d1a70ff35b0,45cdbda716f0c61649790239dc8165ccb0aec53fb0daa170c387e92564c44eb3
17,data/FIMD/17_r_t/17_t.jpg,data/FIMD/17_r_t/17_r.jpg,data/FIMD/17_r_t/control_points_17_r_t.txt,2592,1728,3888,2592,0.666666666667,0.666666666667,12,6d7cb7ee7fab5da57f24772bb5171174c0afca8ce95808cb9909461636a7532d,b06bdece1e08332c4fd4d8f04e8b80c923990f1c6f8a5bae4ab04f7ab7f37537,244014bef007b59623d6aac151bfe78e4d5f2e880ceb107f1cd148a0e49b7f1b
18,data/FIMD/18_r_t/18_t.jpg,data/FIMD/18_r_t/18_r.jpg,data/FIMD/18_r_t/control_points_18_r_t.txt,2592,1728,2544,1696,1.018867924528,1.018867924528,12,d119f486e031296533e2d523221f11bbe2d0976774d6ae6ce707a6c5753b58c3,4f5b04402a51caec426ba2b2863e0ecb04ae9bb4b544794edabc13d90deffd57,9c7758f426dacd4d391c5018414afc1e209f70f3ffc72a46e0063f4aff690d94
19,data/FIMD/19_r_t/19_t.jpg,data/FIMD/19_r_t/19_r.jpg,data/FIMD/19_r_t/control_points_19_r_t.txt,2592,1728,2544,1696,1.018867924528,1.018867924528,12,1b752f67fd090c47485af0ccc0cdbaec394951ffc0fb83a4a01e0b2a63618560,5f33e1d8c33fdb8a3340fde07a76c0e9ce40bd9b7daf8cf63cd0e1fec1330b36,ff60cd8328ce46b89106daf0106f2ce78f2c720b5330fd4f37b2329785d13e70
20,data/FIMD/20_r_t/20_t.jpg,data/FIMD/20_r_t/20_r.jpg,data/FIMD/20_r_t/control_points_20_r_t.txt,1924,1556,2544,1696,0.756289308176,0.917452830189,12,4b0220d5607d2748586429b39872f8f472bac5101a6391f6c10196f4da1ff214,4f5b04402a51caec426ba2b2863e0ecb04ae9bb4b544794edabc13d90deffd57,9cb6d1ed6a1910a2292f559a78670fb4862dd31f738d6da44bd0d779bdf6060f
21,data/FIMD/21_r_t/21_t.jpg,data/FIMD/21_r_t/21_r.jpg,data/FIMD/21_r_t/control_points_21_r_t.txt,1924,1556,2544,1696,0.756289308176,0.917452830189,12,20e3b859e4a9cfd4b15f5cf030bed19b7b57a9cd6b6d1182219e7a9908e735f8,5f33e1d8c33fdb8a3340fde07a76c0e9ce40bd9b7daf8cf63cd0e1fec1330b36,74688a597197d7ecddeed4071cf04c708975264a216ac016a3d0add100e1a35d
22,data/FIMD/22_r_t/22_t.jpg,data/FIMD/22_r_t/22_r.jpg,data/FIMD/22_r_t/control_points_22_r_t.txt,2592,1728,2544,1696,1.018867924528,1.018867924528,12,4a0d40c1c78d8a2baea79af0bf7919a1499c70ab853b6fd644c8be0db4286265,4f5b04402a51caec426ba2b2863e0ecb04ae9bb4b544794edabc13d90deffd57,96a435a4eac301466fd8f2cbe7bd2139b59e2c8f6e6e2d94484c199022d247e7
23,data/FIMD/23_r_t/23_t.jpg,data/FIMD/23_r_t/23_r.jpg,data/FIMD/23_r_t/control_points_23_r_t.txt,2592,1728,2544,1696,1.018867924528,1.018867924528,12,6d7cb7ee7fab5da57f24772bb5171174c0afca8ce95808cb9909461636a7532d,5f33e1d8c33fdb8a3340fde07a76c0e9ce40bd9b7daf8cf63cd0e1fec1330b36,1848f52646cffa9d2fda4a4faa224124da0301d04ac8184c551d6993ede25eda
24,data/FIMD/24_r_t/24_t.jpg,data/FIMD/24_r_t/24_r.jpg,data/FIMD/24_r_t/control_points_24_r_t.txt,2544,1696,3888,2592,0.654320987654,0.654320987654,12,a362885e0a7c4a7a9bbf3bfc405ac6aa3753867066601ca7dff41ad436fcb2cb,8c90e3ba98505d5c5bfd72aa7b73c51dcb99e6a50dee953e818ab3d772c5e92b,7a333eefe230a450a4ef5a84e237f68bf835fbee0f794ff1815324c62f6cf3d0
25,data/FIMD/25_r_t/25_t.jpg,data/FIMD/25_r_t/25_r.jpg,data/FIMD/25_r_t/control_points_25_r_t.txt,2544,1696,3888,2592,0.654320987654,0.654320987654,12,15615536228d7acf62d277aa26cc6574673ea86443fe365b882a2ecc09ebadb9,e215773fee84deda3facec64222186158f9b344d56aaf39e01944c37eea494f7,83f3ab0376a5ed318cdb98a1f3b5a2d7fd87a78ad4007d6167187fccd250a58b
26,data/FIMD/26_r_t/26_t.jpg,data/FIMD/26_r_t/26_r.jpg,data/FIMD/26_r_t/control_points_26_r_t.txt,2544,1696,3888,2592,0.654320987654,0.654320987654,12,729b302892127e48f2dd72228d6ed7f40b8f206b788aeae0fb03d13150880cc5,8c90e3ba98505d5c5bfd72aa7b73c51dcb99e6a50dee953e818ab3d772c5e92b,c0a0ceedd6125719c75c89f3f7aa539a622baf6545bdc5eacae26af6ca330a20
27,data/FIMD/27_r_t/27_t.jpg,data/FIMD/27_r_t/27_r.jpg,data/FIMD/27_r_t/control_points_27_r_t.txt,2544,1696,3888,2592,0.654320987654,0.654320987654,12,15e862cdd7c4a34a984050084fd9eb4a764c68da765fbbe4024061ed7dcb40a8,e215773fee84deda3facec64222186158f9b344d56aaf39e01944c37eea494f7,4fda5bbc6f0961f769faba773fe0f99da57e82a03a7e49f804257c7b624ae977
28,data/FIMD/28_r_t/28_t.jpg,data/FIMD/28_r_t/28_r.jpg,data/FIMD/28_r_t/control_points_28_r_t.txt,2592,1728,3888,2592,0.666666666667,0.666666666667,12,7d1ef6253a8a9e1ab2d7eee8a5733999edd6f027bfd9fd70764e8acf80c30e09,8c90e3ba98505d5c5bfd72aa7b73c51dcb99e6a50dee953e818ab3d772c5e92b,2cbde3d00d27049ae5ea93398b6f21602d2537a77d10c910e68c1657eb5a322f
29,data/FIMD/29_r_t/29_t.jpg,data/FIMD/29_r_t/29_r.jpg,data/FIMD/29_r_t/control_points_29_r_t.txt,2592,1728,3888,2592,0.666666666667,0.666666666667,12,ad76d1d3eed3a32ecfb464da69422bab65df64cbfeae9340afa0ae5e85eef174,e215773fee84deda3facec64222186158f9b344d56aaf39e01944c37eea494f7,cdfe148a344a1c541c24a6ae9063cba8e978ab66d0dd00e9c20ba36639ad768d
30,data/FIMD/30_r_t/30_t.jpg,data/FIMD/30_r_t/30_r.jpg,data/FIMD/30_r_t/control_points_30_r_t.txt,1924,1556,3888,2592,0.494855967078,0.600308641975,12,63e2b4a5e060862eb542bf6f273202f193bfcccfbeb52fb7a3a4551c46720c78,8c90e3ba98505d5c5bfd72aa7b73c51dcb99e6a50dee953e818ab3d772c5e92b,280cf7c03a44d81ee81b3324c45b3afe326393d0ff498d30fe4e30c1a9fc6bdf
31,data/FIMD/31_r_t/31_t.jpg,data/FIMD/31_r_t/31_r.jpg,data/FIMD/31_r_t/control_points_31_r_t.txt,1924,1556,3888,2592,0.494855967078,0.600308641975,12,5c815c30ecacba05dca48e32a8a606c36bb00dd8d798fc6ce4db438c5cff2d3d,e215773fee84deda3facec64222186158f9b344d56aaf39e01944c37eea494f7,bebd04bef8c4ef0dc32e2af3a4c4328c945c31fd296abfbf3a2d7f8f04deb8df
32,data/FIMD/32_r_t/32_t.jpg,data/FIMD/32_r_t/32_r.jpg,data/FIMD/32_r_t/control_points_32_r_t.txt,2592,1728,3888,2592,0.666666666667,0.666666666667,12,298605a1e57f6693099cb3ce25aede2157065e428b2aaf10c022e32bc32793dd,8c90e3ba98505d5c5bfd72aa7b73c51dcb99e6a50dee953e818ab3d772c5e92b,e3d12dbad2fc056cda0de1f1e0cd7bf64f1f45dea60b2e6be5aa4bf5e34e6586
33,data/FIMD/33_r_t/33_t.jpg,data/FIMD/33_r_t/33_r.jpg,data/FIMD/33_r_t/control_points_33_r_t.txt,2544,1696,3888,2592,0.654320987654,0.654320987654,12,2ed6f291df1b75e28f2d3faad20a9d96e447040a4abc5307b5f896c0025e6cbb,f0f8d0fca63a24b4cd8dd52b6660dbd30949b5a928a2f4847ef5c130ad54268c,231bf2b6cb87a44be20422e62c4ed1cdd211e447b956fcca4c4b85f730727fd4
34,data/FIMD/34_r_t/34_t.jpg,data/FIMD/34_r_t/34_r.jpg,data/FIMD/34_r_t/control_points_34_r_t.txt,2544,1696,3888,2592,0.654320987654,0.654320987654,12,9c0dae9f3abeb2537da5d8f5f98931519067603d167fe430c91ddaf587c621b9,b2a8ec03559aaa6700e2f6d248a05affff42da822eb5301d1903722ccb392f34,e8028d696fac0e5d3cccdd8220c0147b3e7354d9645296b835b2cbb21372b9d2
35,data/FIMD/35_r_t/35_t.jpg,data/FIMD/35_r_t/35_r.jpg,data/FIMD/35_r_t/control_points_35_r_t.txt,2592,1728,3888,2592,0.666666666667,0.666666666667,12,3424566bec73edbead034f612a60e508824a6322997a5b24d9bff71ca54263bc,f0f8d0fca63a24b4cd8dd52b6660dbd30949b5a928a2f4847ef5c130ad54268c,53ea8dc18a0fa63a719a37e80a2f44eaba0cbe740ff3750e524a15a2dfe855d5
36,data/FIMD/36_r_t/36_t.jpg,data/FIMD/36_r_t/36_r.jpg,data/FIMD/36_r_t/control_points_36_r_t.txt,2592,1728,3888,2592,0.666666666667,0.666666666667,12,752dece27ddf27f198b65070fcda32a59d92cd6ec4bc56413c79f790c38b229a,b2a8ec03559aaa6700e2f6d248a05affff42da822eb5301d1903722ccb392f34,e4221310ca74da768f476eb735d4fd5a295aaca5ea7fa1ab191d87271747f309
37,data/FIMD/37_r_t/37_t.jpg,data/FIMD/37_r_t/37_r.jpg,data/FIMD/37_r_t/control_points_37_r_t.txt,1924,1556,3888,2592,0.494855967078,0.600308641975,12,b9a20541ed11dd895dbadd97d9d4ff9b1051a150e861a0c015d797f1e557e755,f0f8d0fca63a24b4cd8dd52b6660dbd30949b5a928a2f4847ef5c130ad54268c,83cc85a7c5bda144a338d9c9262f2f543e8031fb637905f0abc0b81c3d53dd83
38,data/FIMD/38_r_t/38_t.jpg,data/FIMD/38_r_t/38_r.jpg,data/FIMD/38_r_t/control_points_38_r_t.txt,1924,1556,3888,2592,0.494855967078,0.600308641975,12,9ca96b78b73810ecde3ac0869278b302f81d61c205f7b9ee9c4b496af8a834cc,b2a8ec03559aaa6700e2f6d248a05affff42da822eb5301d1903722ccb392f34,7474c65fd939c823e7e206e6606b4ce9d374911a3aaa1f92e9884a3f36affdc0
39,data/FIMD/39_r_t/39_t.jpg,data/FIMD/39_r_t/39_r.jpg,data/FIMD/39_r_t/control_points_39_r_t.txt,2592,1728,3888,2592,0.666666666667,0.666666666667,12,cc39f5c5f8be7942427d901685fc86ff12dd98ba8ac8179dc2046ec4d5604280,f0f8d0fca63a24b4cd8dd52b6660dbd30949b5a928a2f4847ef5c130ad54268c,1d2705e846aaa4bad527851aaa079ff7df367f6b3e412a8c047928b6e78a5e66
40,data/FIMD/40_r_t/40_t.jpg,data/FIMD/40_r_t/40_r.jpg,data/FIMD/40_r_t/control_points_40_r_t.txt,2592,1728,3888,2592,0.666666666667,0.666666666667,12,56487ac14595c017a1c5a5757f49cac59978bca1f401e2c47d5b5da4ad869559,b2a8ec03559aaa6700e2f6d248a05affff42da822eb5301d1903722ccb392f34,d06a961fbab533bd0c536e92ba7d73afd54e0d2b78165da5f50d714a053fd8f8
41,data/FIMD/41_r_t/41_t.jpg,data/FIMD/41_r_t/41_r.jpg,data/FIMD/41_r_t/control_points_41_r_t.txt,2544,1696,2544,1696,1.000000000000,1.000000000000,12,2ed6f291df1b75e28f2d3faad20a9d96e447040a4abc5307b5f896c0025e6cbb,ed688d33e220dc9d5e3ef965228fd899ff7c29db1a46d78f53374091109d650c,8d9aba9714255f2a5c588f18085b0950c3865b16cdee61a47bf18b70e0915ce2
42,data/FIMD/42_r_t/42_t.jpg,data/FIMD/42_r_t/42_r.jpg,data/FIMD/42_r_t/control_points_42_r_t.txt,2544,1696,2544,1696,1.000000000000,1.000000000000,12,9c0dae9f3abeb2537da5d8f5f98931519067603d167fe430c91ddaf587c621b9,963747f8689deb83cdd516d23f88131a5e60f8f7b8d0edcc9955c70e2b973963,e6c7f56932980fa9e6f825cc2185cf5af6428ab30790e9174037476b4a036df5
43,data/FIMD/43_r_t/43_t.jpg,data/FIMD/43_r_t/43_r.jpg,data/FIMD/43_r_t/control_points_43_r_t.txt,2592,1728,2544,1696,1.018867924528,1.018867924528,12,3424566bec73edbead034f612a60e508824a6322997a5b24d9bff71ca54263bc,ed688d33e220dc9d5e3ef965228fd899ff7c29db1a46d78f53374091109d650c,d17e7fd8a25e41b0e56106229a4d60ef3afcd16ae1b119eb47fb82f24559509b
44,data/FIMD/44_r_t/44_t.jpg,data/FIMD/44_r_t/44_r.jpg,data/FIMD/44_r_t/control_points_44_r_t.txt,2592,1728,2544,1696,1.018867924528,1.018867924528,12,752dece27ddf27f198b65070fcda32a59d92cd6ec4bc56413c79f790c38b229a,963747f8689deb83cdd516d23f88131a5e60f8f7b8d0edcc9955c70e2b973963,73459b7e6c38c8787ec551081cecd1e2c915457ca748d141229a0dbd99422461
45,data/FIMD/45_r_t/45_t.jpg,data/FIMD/45_r_t/45_r.jpg,data/FIMD/45_r_t/control_points_45_r_t.txt,1924,1556,2544,1696,0.756289308176,0.917452830189,12,b9a20541ed11dd895dbadd97d9d4ff9b1051a150e861a0c015d797f1e557e755,ed688d33e220dc9d5e3ef965228fd899ff7c29db1a46d78f53374091109d650c,fafd44ca1f50eacef0990f2efdda5338b53b3fcbdd1f760b56718a19fe2d967a
46,data/FIMD/46_r_t/46_t.jpg,data/FIMD/46_r_t/46_r.jpg,data/FIMD/46_r_t/control_points_46_r_t.txt,1924,1556,2544,1696,0.756289308176,0.917452830189,12,9ca96b78b73810ecde3ac0869278b302f81d61c205f7b9ee9c4b496af8a834cc,963747f8689deb83cdd516d23f88131a5e60f8f7b8d0edcc9955c70e2b973963,ff62f74dcc7898ac92abdd74a1cb6e769f03708057337fa2fae6b161fb401e81
47,data/FIMD/47_r_t/47_t.jpg,data/FIMD/47_r_t/47_r.jpg,data/FIMD/47_r_t/control_points_47_r_t.txt,2592,1728,2544,1696,1.018867924528,1.018867924528,12,cc39f5c5f8be7942427d901685fc86ff12dd98ba8ac8179dc2046ec4d5604280,ed688d33e220dc9d5e3ef965228fd899ff7c29db1a46d78f53374091109d650c,0bd2914e697f83eab072109ee5315ff8dfd1a4f05c383b912013028575b52e12
48,data/FIMD/48_r_t/48_t.jpg,data/FIMD/48_r_t/48_r.jpg,data/FIMD/48_r_t/control_points_48_r_t.txt,2592,1728,2544,1696,1.018867924528,1.018867924528,12,56487ac14595c017a1c5a5757f49cac59978bca1f401e2c47d5b5da4ad869559,963747f8689deb83cdd516d23f88131a5e60f8f7b8d0edcc9955c70e2b973963,867fdfc55571e583172959628c60899f132a6795195982ba3f0737f26a219369
49,data/FIMD/49_r_t/49_t.jpg,data/FIMD/49_r_t/49_r.jpg,data/FIMD/49_r_t/control_points_49_r_t.txt,2592,1728,2544,1696,1.018867924528,1.018867924528,12,3424566bec73edbead034f612a60e508824a6322997a5b24d9bff71ca54263bc,2ed6f291df1b75e28f2d3faad20a9d96e447040a4abc5307b5f896c0025e6cbb,5d1b1dc22b55953e3179d3a8b408d85ea61c1694131b2598990eb5507fe08169
50,data/FIMD/50_r_t/50_t.jpg,data/FIMD/50_r_t/50_r.jpg,data/FIMD/50_r_t/control_points_50_r_t.txt,2592,1728,2544,1696,1.018867924528,1.018867924528,12,752dece27ddf27f198b65070fcda32a59d92cd6ec4bc56413c79f790c38b229a,9c0dae9f3abeb2537da5d8f5f98931519067603d167fe430c91ddaf587c621b9,f90cf4392beec29253e2b4bab2e456ce9fdc67e123703926666cea58fbb09c06
51,data/FIMD/51_r_t/51_t.jpg,data/FIMD/51_r_t/51_r.jpg,data/FIMD/51_r_t/control_points_51_r_t.txt,1924,1556,2544,1696,0.756289308176,0.917452830189,12,b9a20541ed11dd895dbadd97d9d4ff9b1051a150e861a0c015d797f1e557e755,2ed6f291df1b75e28f2d3faad20a9d96e447040a4abc5307b5f896c0025e6cbb,18b2f579a8e1c6d38a22e1747e346a0cdc6eababa94ed4f4846e96685e6b09a2
52,data/FIMD/52_r_t/52_t.jpg,data/FIMD/52_r_t/52_r.jpg,data/FIMD/52_r_t/control_points_52_r_t.txt,1924,1556,2544,1696,0.756289308176,0.917452830189,12,9ca96b78b73810ecde3ac0869278b302f81d61c205f7b9ee9c4b496af8a834cc,9c0dae9f3abeb2537da5d8f5f98931519067603d167fe430c91ddaf587c621b9,eec5f4e14acb56151b6841b4c8ba3b547ed63aa60e1a6ad1d73928871c16c00e
53,data/FIMD/53_r_t/53_t.jpg,data/FIMD/53_r_t/53_r.jpg,data/FIMD/53_r_t/control_points_53_r_t.txt,2592,1728,2544,1696,1.018867924528,1.018867924528,12,cc39f5c5f8be7942427d901685fc86ff12dd98ba8ac8179dc2046ec4d5604280,2ed6f291df1b75e28f2d3faad20a9d96e447040a4abc5307b5f896c0025e6cbb,4ba6612e98852e94581d45b50837f53698186077aef9d60f1dd1e8940766f670
54,data/FIMD/54_r_t/54_t.jpg,data/FIMD/54_r_t/54_r.jpg,data/FIMD/54_r_t/control_points_54_r_t.txt,2592,1728,2544,1696,1.018867924528,1.018867924528,12,56487ac14595c017a1c5a5757f49cac59978bca1f401e2c47d5b5da4ad869559,9c0dae9f3abeb2537da5d8f5f98931519067603d167fe430c91ddaf587c621b9,d004212a794e3e2c06862ee6036c1bace0b8ac2f6e20852456a1c1b845aa13e4
55,data/FIMD/55_r_t/55_t.jpg,data/FIMD/55_r_t/55_r.jpg,data/FIMD/55_r_t/control_points_55_r_t.txt,2544,1696,3888,2592,0.654320987654,0.654320987654,12,79e76966d8f3722c416e05d094a1983c0d070470b34ff652ca78c4de8d344a2c,4d41c31f56b9f4e7fa40e3ce4084443634d21d2c47ddef932b4e7ccdda7cd129,cac4c1be6826e56c2de34386b4c101405be8c64bced845a09842be20df9ed07c
56,data/FIMD/56_r_t/56_t.jpg,data/FIMD/56_r_t/56_r.jpg,data/FIMD/56_r_t/control_points_56_r_t.txt,2544,1696,3888,2592,0.654320987654,0.654320987654,12,1df6b59200aaf7855c56d259c09b1e61ec1fba2b3e634f2017b38cb43de50330,92cba0e0dbb5200161a804767063311d1a376804bcc961d402471955188290f4,32ebc15e02f53a1dc4bd41146213a0375e823add7a4a88d0e009a69f43d9fd89
57,data/FIMD/57_r_t/57_t.jpg,data/FIMD/57_r_t/57_r.jpg,data/FIMD/57_r_t/control_points_57_r_t.txt,2544,1696,3888,2592,0.654320987654,0.654320987654,12,78290dacd371e434577d102ebf4f55ec7d0d4526e3bcec48b25e35a631df7e14,4d41c31f56b9f4e7fa40e3ce4084443634d21d2c47ddef932b4e7ccdda7cd129,7566eaa94d3afa0f41ad32e027abc70d6857ed8af0066c361a7f7fad62b8a4f6
58,data/FIMD/58_r_t/58_t.jpg,data/FIMD/58_r_t/58_r.jpg,data/FIMD/58_r_t/control_points_58_r_t.txt,2544,1696,3888,2592,0.654320987654,0.654320987654,12,2f4f43c08731c4472dc331fe1f45aeaae0d151c1a69b68d54087cae64207b8cd,92cba0e0dbb5200161a804767063311d1a376804bcc961d402471955188290f4,73bc65a55a6d2c23b6ada669f9c4c0331e2df992aac156ac0404772bc983c199
59,data/FIMD/59_r_t/59_t.jpg,data/FIMD/59_r_t/59_r.jpg,data/FIMD/59_r_t/control_points_59_r_t.txt,2592,1728,3888,2592,0.666666666667,0.666666666667,12,48a3ed8892ef9cd893a75fe21e374ee05c2b0f6b0ba5e20e67a25dac5a02404d,4d41c31f56b9f4e7fa40e3ce4084443634d21d2c47ddef932b4e7ccdda7cd129,90f716bc2bef8c2f14655e61ed5322a8b1ab28dab94e3102f2e453af9db54ee8
60,data/FIMD/60_r_t/60_t.jpg,data/FIMD/60_r_t/60_r.jpg,data/FIMD/60_r_t/control_points_60_r_t.txt,2592,1728,3888,2592,0.666666666667,0.666666666667,12,cf449de79c96c1b2fd65854ca3d075a16f1224a3cc502a24fe621642ada4dad3,92cba0e0dbb5200161a804767063311d1a376804bcc961d402471955188290f4,f818b09537c1bc35ba6921d8a515b08a5665920ac9196c67f9064f82894f6631
